geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;mediana
1;20;20;5;0.6;0.15;3;0;[1, 2, 9, 13, 40, 44, 55, 57, 70] - 3871;4612
2;20;20;5;0.6;0.15;3;0;[1, 2, 9, 13, 40, 44, 55, 57, 70] - 3871;4581
3;20;20;5;0.6;0.15;3;0;[1, 2, 9, 13, 40, 44, 55, 57, 70] - 3871;4607
4;20;20;5;0.6;0.15;3;0;[1, 2, 4, 10, 11, 21, 23, 33, 49, 55, 57, 70] - 3870;4806
5;20;20;5;0.6;0.15;3;0;[1, 2, 4, 10, 11, 21, 23, 33, 49, 55, 57, 70] - 3870;4141
6;20;20;5;0.6;0.15;3;0;[1, 2, 4, 10, 11, 21, 23, 33, 49, 55, 57, 70] - 3870;4579
7;20;20;5;0.6;0.15;3;0;[1, 4, 10, 11, 21, 23, 33, 47, 55, 57, 70] - 3681;4563
8;20;20;5;0.6;0.15;3;0;[1, 4, 10, 11, 21, 23, 33, 47, 55, 57, 70] - 3681;5116
9;20;20;5;0.6;0.15;3;0;[1, 4, 10, 11, 21, 23, 33, 47, 55, 57, 70] - 3681;4701
10;20;20;5;0.6;0.15;3;0;[1, 4, 10, 11, 21, 23, 33, 47, 55, 57, 70] - 3681;4492
11;20;20;5;0.6;0.15;3;0;[1, 4, 10, 11, 21, 23, 33, 47, 55, 57, 70] - 3681;5578
12;20;20;5;0.6;0.15;3;0;[1, 4, 10, 11, 21, 23, 33, 47, 55, 57, 70] - 3681;3959
13;20;20;5;0.6;0.15;3;0;[1, 4, 10, 11, 21, 23, 33, 47, 55, 57, 70] - 3681;4301
14;20;20;5;0.6;0.15;3;0;[1, 3, 5, 12, 22, 33, 49, 55, 57, 70] - 3621;4307
15;20;20;5;0.6;0.15;3;0;[1, 3, 5, 12, 22, 23, 33, 49, 58, 62, 70] - 3546;4237
16;20;20;5;0.6;0.15;3;0;[1, 3, 5, 12, 22, 23, 33, 49, 58, 62, 70] - 3546;4585
17;20;20;5;0.6;0.15;3;0;[1, 3, 5, 12, 22, 23, 33, 49, 58, 62, 70] - 3546;4538
18;20;20;5;0.6;0.15;3;0;[1, 3, 5, 12, 22, 23, 33, 49, 58, 62, 70] - 3546;4667
19;20;20;5;0.6;0.15;3;0;[1, 3, 5, 12, 22, 23, 33, 49, 58, 62, 70] - 3546;4762
