geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 20; 20; 5; 0.6; 0.15; 3; 0; [1, 3, 13, 23, 33, 49, 55, 57, 70] - 3634; 4735;
2; 20; 20; 5; 0.6; 0.15; 3; 0; [3, 23, 25, 33, 49, 55, 58, 62, 70] - 3586; 4548;
3; 20; 20; 5; 0.6; 0.15; 3; 0; [3, 13, 23, 33, 49, 55, 57, 70] - 3375; 4506;
4; 20; 20; 5; 0.6; 0.15; 3; 0; [3, 13, 23, 33, 49, 55, 57, 70] - 3375; 4682;
5; 20; 20; 5; 0.6; 0.15; 3; 0; [3, 13, 23, 33, 49, 55, 57, 70] - 3375; 4587;
6; 20; 20; 5; 0.6; 0.15; 3; 0; [3, 13, 23, 33, 49, 55, 57, 70] - 3375; 4903;
7; 20; 20; 5; 0.6; 0.15; 3; 0; [4, 4, 4, 4, 4, 4, 1, 1, 4, 1, 1, 1, 4, 4, 4, 1] - 695; 4729;
8; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 13, 13, 13, 3, 3, 3] - -1; 4510;
9; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 13, 13, 13, 3, 3, 3] - -1; 4852;
10; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 13, 13, 13, 3, 3, 3] - -1; 4852;
11; 20; 20; 5; 0.6; 0.15; 3; 0; [4, 4, 4, 4, 4, 4, 1, 1, 4, 1, 1, 1, 4, 4, 4, 1] - 695; 5253;
12; 20; 20; 5; 0.6; 0.15; 3; 0; [4, 4, 4, 4, 1, 4, 4, 4, 1, 4, 4, 4] - 696; 4218;
13; 20; 20; 5; 0.6; 0.15; 3; 0; [1, 1, 1, 3, 3, 1, 3, 3, 3, 3, 1] - 516; 4413;
14; 20; 20; 5; 0.6; 0.15; 3; 0; [1, 3, 3, 1, 3, 3, 3, 3, 1] - 516; 4739;
15; 20; 20; 5; 0.6; 0.15; 3; 0; [1, 3, 3, 1, 3, 3, 3, 3, 1] - 516; 4238;
16; 20; 20; 5; 0.6; 0.15; 3; 0; [1, 3, 3, 1, 3, 3, 3, 3, 1] - 516; 4800;
17; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 56, 57, 70] - 3108; 4559;
18; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 45, 57, 70] - 2977; 4031;
19; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 45, 57, 70] - 2977; 4292;
20; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 45, 57, 70] - 2977; 4534;
21; 20; 20; 5; 0.6; 0.15; 3; 0; [1, 1, 1, 3, 3, 1, 3, 1, 3, 3, 1, 3, 1] - 1032; 4827;
22; 20; 20; 5; 0.6; 0.15; 3; 0; [1, 1, 1, 3, 3, 1, 3, 1, 3, 3, 1, 3, 1] - 1032; 4277;
23; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 45, 57, 70] - 2977; 4805;
24; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 45, 57, 70] - 2977; 4550;
25; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 45, 57, 70] - 2977; 4601;
26; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 45, 57, 70] - 2977; 4351;
27; 20; 20; 5; 0.6; 0.15; 3; 0; [4, 1, 4, 1, 4, 1, 4, 1, 4, 1] - 1391; 4858;
28; 20; 20; 5; 0.6; 0.15; 3; 0; [4, 1, 4, 1, 4, 1, 4, 1, 4, 1] - 1391; 4553;
29; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 40, 13, 13, 40] - 1627; 4813;
30; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 40, 13, 13, 40] - 1627; 4637;
31; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 45, 57, 70] - 2977; 4554;
32; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 13, 13, 13, 13] - 0; 4231;
33; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 13, 13, 13, 13] - 0; 4719;
34; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 13, 13, 13, 13] - 0; 4965;
35; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 13, 13, 13, 13] - 0; 4331;
36; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 13, 13, 13, 13] - 0; 4600;
37; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 13, 13, 13, 13] - 0; 4771;
38; 20; 20; 5; 0.6; 0.15; 3; 0; [40, 13, 13, 13, 13, 40] - 813; 4498;
39; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 40, 40, 40, 13] - 813; 4567;
40; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 40, 40, 40, 13] - 813; 5027;
41; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 40, 40, 40, 13] - 813; 4904;
42; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 40, 40, 40, 13] - 813; 4400;
43; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 40, 40, 40, 13] - 813; 4066;
44; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 40, 40, 40, 13] - 813; 4405;
45; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 40, 40, 40, 13] - 813; 4795;
46; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 40, 40, 40, 13] - 813; 4525;
47; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 40, 40, 40, 13] - 813; 4141;
48; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 40, 40, 40, 13] - 813; 4086;
49; 20; 20; 5; 0.6; 0.15; 3; 0; [40, 13, 40, 40, 40, 40] - 813; 4040;
50; 20; 20; 5; 0.6; 0.15; 3; 0; [1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1] - 820; 4641;
51; 20; 20; 5; 0.6; 0.15; 3; 0; [1, 1, 1, 2, 2, 2, 1, 1, 1, 2, 1, 2, 1, 2, 2, 1] - 820; 4293;
52; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 40, 13, 40, 13] - 1626; 4554;
53; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 40, 13, 40, 13] - 1626; 4834;
54; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 40, 40, 40, 40] - 814; 4834;
55; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 13, 40, 13, 40, 13] - 1626; 5043;
56; 20; 20; 5; 0.6; 0.15; 3; 0; [1, 2, 4, 11, 21, 23, 25, 33, 13, 13, 13, 40, 40] - 2806; 4528;
57; 20; 20; 5; 0.6; 0.15; 3; 0; [1, 2, 9, 13, 13, 40, 13, 40, 13] - 2415; 4971;
58; 20; 20; 5; 0.6; 0.15; 3; 0; [4, 1, 1, 1, 1, 4, 4, 1, 1, 1] - 347; 5009;
59; 20; 20; 5; 0.6; 0.15; 3; 0; [3, 3, 1, 3, 1, 1, 3, 1, 1, 3, 1, 3, 3, 1, 1] - 1031; 5354;
60; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 45, 57, 70] - 2977; 5084;
61; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 45, 57, 70] - 2977; 5212;
62; 20; 20; 5; 0.6; 0.15; 3; 0; [1, 4, 1, 1, 1, 4, 1, 1, 1, 1, 1, 1, 4] - 1045; 4544;
63; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 45, 57, 70] - 2977; 4576;
64; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 45, 57, 70] - 2977; 3877;
65; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 45, 57, 70] - 2977; 4699;
66; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 45, 57, 70] - 2977; 4681;
67; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 45, 57, 70] - 2977; 3856;
68; 20; 20; 5; 0.6; 0.15; 3; 0; [13, 40, 44, 45, 57, 70] - 2977; 4135;
69; 20; 20; 5; 0.6; 0.15; 3; 0; [40, 40, 40, 40, 13, 13] - -1; 3884;
