geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 19; 17; 8; 0.5; 2; 1; 1; 0; 0.03; 1; 1; 6;1864
2; 17; 18; 8; 0.5; 0; 4; 0; 0; 0.03; 1; 1; 6;1660
3; 18; 17; 8; 0.5; 1; 2; 1; 0; 0.03; 1; 1; 6;1556
4; 17; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;1612
5; 18; 18; 8; 0.5; 3; 1; 0; 0; 0.03; 1; 1; 6;1556
6; 18; 20; 8; 0.5; 2; 1; 1; 0; 0.03; 1; 1; 6;1612
7; 20; 21; 10; 0.1; 2; 1; 2; 0; 0.03; 1; 1; 7;1612
8; 21; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;1556
9; 18; 20; 8; 0.5; 2; 1; 1; 0; 0.03; 1; 1; 7;1612
10; 20; 21; 10; 0.1; 2; 1; 2; 0; 0.03; 1; 1; 7;1612

