geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 20; 32; 12; 0.2; 0.3; 10; 10; [1, 4, 10, 20] - 1086; 2003;
2; 32; 38; 6; 0.2; 0.3; 12; 12; [1, 4, 10, 20] - 1086; 2003;
3; 38; 45; 8; 0.2; 0.3; 14; 15; [1, 4, 10, 20] - 1086; 2003;
4; 45; 71; 10; 0.2; 0.3; 17; 1; [1, 2, 4, 10, 20] - 1163; 2147483646;
5; 71; 111; 14; 0.2; 0.3; 26; 0; [1, 2, 4, 10, 20] - 1163; 2147483646;
6; 111; 173; 22; 0.2; 0.3; 40; 0; [1, 2, 4, 10, 20] - 1163; 2147483646;
7; 173; 269; 34; 0.2; 0.3; 63; 1; [1, 2, 9, 11, 20] - 1165; 2147483646;
8; 269; 419; 54; 0.2; 0.3; 97; 1; [1, 3, 9, 11, 20] - 1320; 2147483646;
9; 419; 653; 84; 0.2; 0.3; 151; 1; [1, 4, 11, 20] - 1408; 2147483646;
10; 653; 1017; 130; 0.2; 0.3; 235; 1; [1, 2, 3, 9, 11, 20] - 1453; 2147483646;

