geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;media
1;20;22;10;0.1;0.03;0;8;46
2;22;19;2;0.1;0.03;0;5;44
3;19;22;9;0.5;0.03;0;6;44
4;22;18;2;0.1;0.03;0;6;40
5;18;20;9;0.5;0.03;0;7;39
6;20;23;10;0.1;0.03;0;7;39
7;23;19;2;0.1;0.03;0;6;38
8;19;22;9;0.5;0.03;0;6;38
9;22;19;2;0.1;0.03;0;5;36
10;19;21;9;0.5;0.03;0;7;36
11;21;19;2;0.1;0.03;0;4;36
12;19;22;9;0.5;0.03;0;6;36
13;22;18;2;0.1;0.03;0;6;35
14;18;21;9;0.5;0.03;0;6;35
15;21;17;2;0.1;0.03;0;6;34
16;17;19;8;0.5;0.03;0;6;35
17;19;21;9;0.5;0.03;0;7;35
18;21;18;2;0.1;0.03;0;5;35
19;18;21;9;0.5;0.03;0;6;35
20;21;19;2;0.1;0.03;0;4;35

