geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 20; 18; 10; 0.5; 3; 0; 2; 0; 0.03; 1; 1; 13;41;
2; 18; 16; 10; 0.5; 3; 0; 2; 0; 0.03; 1; 1; 13;38;
3; 16; 15; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 10;36;
4; 15; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 6;36;
5; 18; 22; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 7;37;
6; 22; 16; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 9;35;
7; 16; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7;36;
8; 18; 21; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 8;36;
9; 21; 17; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 7;36;
10; 17; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 7;35;
11; 19; 22; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 8;35;
12; 22; 11; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 14;32;
13; 11; 13; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 5;33;
14; 13; 13; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7;32;
15; 13; 14; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 6;32;
16; 14; 17; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 6;33;
17; 17; 16; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 10;33;
18; 16; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;33;
19; 18; 20; 10; 0.5; 3; 0; 2; 0; 0.03; 1; 1; 9;33;
20; 20; 23; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 8;34;

