geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 40; 36; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 9;46.0
2; 36; 32; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 7;43.0
3; 32; 30; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 5;42.0
4; 30; 27; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 6;41.0
5; 27; 24; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;41.0
6; 24; 22; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 5;40.0
7; 22; 20; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 5;38.0
8; 20; 26; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 5;38.0
9; 26; 25; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 4;38.0
10; 25; 25; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;38.0
11; 25; 25; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;37.0
12; 25; 25; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;37.0
13; 25; 25; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;37.0
14; 25; 23; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 5;36.0
15; 23; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 5;36.0
16; 21; 20; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 4;36.0
17; 20; 25; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 6;36.0
18; 25; 23; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 5;36.0
19; 23; 22; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 4;36.0
20; 22; 20; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 5;35.0
21; 20; 26; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 5;36.0
22; 26; 25; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 4;36.0
23; 25; 23; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 5;35.0
24; 23; 22; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 4;35.0
25; 22; 20; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 5;33.0
26; 20; 25; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 6;35.0
27; 25; 23; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 5;34.0
28; 23; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 5;33.0
29; 21; 20; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 4;33.0
30; 20; 25; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 6;34.0

