geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 40; 29; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 16;43;
2; 29; 16; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 16;39;
3; 16; 19; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 6;38;
4; 19; 15; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 13;36;
5; 15; 16; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 6;36;
6; 16; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 6;36;
7; 19; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;36;
8; 19; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 11;36;
9; 17; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;36;
10; 19; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;36;
11; 19; 22; 8; 0.1; 3; 0; 1; 0; 0.03; 1; 1; 6;36;
12; 22; 20; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 5;36;
13; 20; 24; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 7;35;
14; 24; 15; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 12;34;
15; 15; 17; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 5;34;
16; 17; 21; 8; 0.1; 2; 0; 2; 0; 0.03; 1; 1; 5;35;
17; 21; 20; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 4;34;
18; 20; 22; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 9;34;
19; 22; 14; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 11;33;
20; 14; 17; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 4;33;
21; 17; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 7;33;
22; 19; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 9;33;
23; 19; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;33;
24; 20; 21; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 10;33;
25; 21; 19; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 5;33;
26; 19; 20; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;33;
27; 20; 24; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 7;34;
28; 24; 20; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 7;33;
29; 20; 23; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 8;33;
30; 23; 22; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 4;33;
31; 22; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 4;33;
32; 21; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;33;
33; 21; 22; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 2;33;
34; 22; 22; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 3;33;
35; 22; 22; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 3;33;
36; 22; 22; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;33;
37; 22; 23; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 2;33;
38; 23; 23; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3;33;
39; 23; 15; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 11;32;
40; 15; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;32;
41; 16; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;33;
42; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;33;
43; 20; 21; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 10;33;
44; 21; 17; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 7;32;
45; 17; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;32;
