geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 28; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 8;1814
2; 21; 17; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 5;1660
3; 17; 19; 8; 0.5; 3; 1; 0; 0; 0.03; 0; 0; 6;1660
4; 19; 20; 9; 0.5; 2; 2; 0; 0; 0.03; 0; 0; 6;1711
5; 20; 21; 10; 0.1; 4; 1; 0; 0; 0.03; 0; 0; 7;1660
6; 21; 17; 2; 0.1; 0; 1; 0; 0; 0.03; 0; 0; 5;1527
7; 17; 18; 8; 0.5; 4; 0; 0; 0; 0.03; 0; 0; 6;1587
8; 18; 20; 9; 0.5; 2; 1; 1; 0; 0.03; 0; 0; 6;1660
9; 20; 21; 10; 0.1; 2; 3; 0; 0; 0.03; 0; 0; 7;1660
10; 21; 17; 2; 0.1; 0; 1; 0; 0; 0.03; 0; 0; 6;1527
11; 17; 18; 8; 0.5; 1; 1; 2; 0; 0.03; 0; 0; 6;1587
12; 18; 18; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 6;1587
13; 18; 19; 9; 0.5; 1; 2; 1; 0; 0.03; 0; 0; 6;1587
14; 19; 20; 9; 0.5; 1; 3; 0; 0; 0.03; 0; 0; 6;1660
15; 20; 21; 10; 0.1; 3; 2; 0; 0; 0.03; 0; 0; 7;1660
16; 21; 17; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 6;1527
17; 17; 19; 8; 0.5; 2; 2; 0; 0; 0.03; 0; 0; 6;1556
18; 19; 18; 9; 0.5; 3; 1; 0; 0; 0.03; 0; 0; 6;1556
19; 18; 19; 9; 0.5; 4; 0; 0; 0; 0.03; 0; 0; 6;1556
20; 19; 20; 9; 0.5; 1; 3; 0; 0; 0.03; 0; 0; 6;1587

