geracao; tamanhoAntesOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 26; 24; 5; 0.2; 0.3; 8; 8; 15;[1, 4, 10, 20] - 10861720
2; 24; 23; 4; 0.2; 0.3; 8; 8; 13;[1, 4, 10, 20] - 10861660
3; 23; 22; 4; 0.2; 0.3; 7; 7; 12;[1, 4, 10, 20] - 10861660
4; 22; 21; 4; 0.2; 0.3; 7; 7; 12;[1, 4, 10, 20] - 10861612
5; 21; 23; 4; 0.2; 0.3; 7; 7; 9;[1, 4, 10, 20] - 10861660
6; 23; 23; 4; 0.2; 0.3; 8; 8; 12;[1, 4, 10, 20] - 10861660
7; 23; 23; 4; 0.2; 0.3; 8; 8; 12;[1, 4, 10, 20] - 10861660
8; 23; 23; 4; 0.2; 0.3; 8; 8; 12;[1, 4, 10, 20] - 10861660
9; 23; 23; 4; 0.2; 0.3; 8; 8; 12;[1, 4, 10, 20] - 10861660
10; 23; 21; 4; 0.2; 0.3; 7; 7; 13;[1, 4, 10, 20] - 10861612
11; 21; 21; 4; 0.2; 0.3; 7; 7; 11;[1, 4, 10, 20] - 10861612
12; 21; 23; 4; 0.2; 0.3; 7; 7; 9;[1, 4, 10, 20] - 10861660
13; 23; 22; 4; 0.2; 0.3; 7; 7; 12;[1, 4, 10, 20] - 10861660
14; 22; 22; 4; 0.2; 0.3; 7; 7; 11;[1, 4, 10, 20] - 10861619
15; 22; 22; 4; 0.2; 0.3; 7; 7; 11;[1, 4, 10, 20] - 10861619
16; 22; 23; 4; 0.2; 0.3; 7; 7; 10;[1, 4, 10, 20] - 10861619
17; 23; 22; 4; 0.2; 0.3; 7; 7; 12;[1, 4, 10, 20] - 10861612
18; 22; 20; 4; 0.2; 0.3; 7; 7; 13;[1, 4, 10, 20] - 10861587
19; 20; 23; 12; 0.2; 0.3; 8; 8; 17;[1, 4, 10, 20] - 10861612
20; 23; 23; 4; 0.2; 0.3; 7; 7; 11;[1, 4, 10, 20] - 10861612

