geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 40; 27; 8; 0.2; 0.15; 7; 28; [1, 2, 9, 13, 31, 33, 49, 58, 62, 70] - 3589; 4907;
2; 27; 18; 5; 0.2; 0.15; 4; 18; [1, 2, 9, 13, 31, 33, 49, 58, 62, 70] - 3589; 4790;
3; 18; 16; 10; 0.6; 0.15; 4; 16; [1, 2, 9, 13, 31, 33, 49, 58, 62, 70] - 3589; 4680;
4; 16; 14; 9; 0.6; 0.15; 3; 14; [1, 2, 9, 13, 31, 33, 49, 58, 62, 70] - 3589; 4680;
5; 14; 12; 8; 0.6; 0.15; 3; 13; [1, 2, 9, 13, 31, 33, 49, 58, 62, 70] - 3589; 4680;
6; 12; 10; 7; 0.6; 0.15; 2; 11; [1, 2, 9, 13, 31, 33, 49, 58, 62, 70] - 3589; 4680;
7; 10; 9; 6; 0.6; 0.15; 2; 9; [1, 2, 9, 13, 31, 33, 49, 58, 62, 70] - 3589; 4680;
8; 9; 8; 5; 0.6; 0.15; 2; 8; [1, 2, 9, 13, 31, 33, 49, 58, 62, 70] - 3589; 4680;
9; 8; 6; 4; 0.6; 0.15; 1; 7; [1, 2, 9, 13, 31, 33, 49, 58, 62, 70] - 3589; 4680;
10; 6; 5; 3; 0.6; 0.15; 1; 5; [1, 2, 9, 13, 31, 33, 49, 58, 62, 70] - 3589; 3589;
11; 5; 4; 3; 0.6; 0.15; 1; 5; [1, 2, 9, 13, 31, 33, 49, 58, 62, 70] - 3589; 3589;
12; 4; 3; 2; 0.6; 0.15; 0; 3; [1, 2, 9, 13, 31, 33, 49, 58, 62, 70] - 3589; 3589;
13; 3; 2; 1; 0.6; 0.15; 0; 2; [1, 2, 9, 13, 31, 33, 49, 58, 62, 70] - 3589; 3589;
14; 2; 1; 1; 0.6; 0.15; 0; 2; [1, 2, 9, 13, 31, 33, 49, 58, 62, 70] - 3589; 3589;
15; 1; 0; 0; 0.6; 0.15; 0; 1; null; -1;

