geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 40; 26; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 19;37;
2; 26; 15; 2; 0.1; 0; 0; 1; 0; 0.03; 0; 0; 13;34;
3; 15; 11; 7; 0.5; 3; 0; 0; 0; 0.03; 0; 0; 11;33;
4; 11; 13; 5; 0.5; 2; 0; 0; 0; 0.03; 0; 0; 3;33;
5; 13; 13; 6; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 6;33;
6; 13; 13; 6; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 6;33;
7; 13; 12; 6; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 7;32;
8; 12; 13; 6; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 5;32;
9; 13; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 4;33;
10; 15; 16; 7; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 6;33;

