geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 60; 39; 6; 0.1; 3; 0; 0; 0; 0.03; 1; 1; 28;39;
2; 39; 22; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 20;34;
3; 22; 14; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 11;32;
4; 14; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 5;32;
5; 16; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 6;33;
6; 19; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;33;
7; 19; 20; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 8;33;
8; 20; 22; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 9;33;
9; 22; 19; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 6;32;
10; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;32;
11; 20; 22; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 9;33;
12; 22; 19; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 6;32;
13; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;32;
14; 20; 20; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 11;32;
15; 20; 22; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 9;33;
16; 22; 20; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 5;32;
17; 20; 23; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 8;33;
18; 23; 15; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 11;31;
19; 15; 17; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5;32;
20; 17; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;32;

