geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; NumElitismo; melhor; mediana;
1; 29; 24; 6; 0.2; 0.3; 10; 21; [1, 4, 10, 20] - 1086; 1731;
2; 24; 23; 4; 0.2; 0.3; 8; 13; [1, 4, 10, 20] - 1086; 1711;
3; 23; 22; 4; 0.2; 0.3; 8; 13; [1, 4, 10, 20] - 1086; 1711;
4; 22; 23; 4; 0.2; 0.3; 8; 11; [1, 4, 10, 20] - 1086; 1711;
5; 23; 21; 4; 0.2; 0.3; 8; 14; [1, 4, 10, 20] - 1086; 1660;
6; 21; 20; 4; 0.2; 0.3; 8; 13; [1, 4, 10, 20] - 1086; 1660;
7; 20; 23; 12; 0.2; 0.3; 9; 18; [1, 4, 10, 20] - 1086; 1711;
8; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1711;
9; 23; 23; 4; 0.2; 0.3; 9; 13; [1, 4, 10, 20] - 1086; 1660;
10; 23; 21; 4; 0.2; 0.3; 8; 14; [1, 4, 10, 20] - 1086; 1612;
11; 21; 22; 4; 0.2; 0.3; 8; 11; [1, 4, 10, 20] - 1086; 1660;
12; 22; 22; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1660;
13; 22; 23; 4; 0.2; 0.3; 8; 11; [1, 4, 10, 20] - 1086; 1660;
14; 23; 26; 4; 0.2; 0.3; 9; 10; [1, 4, 10, 20] - 1086; 1689;
15; 26; 26; 6; 0.2; 0.3; 9; 15; [1, 4, 10, 20] - 1086; 1660;
16; 26; 26; 6; 0.2; 0.3; 9; 15; [1, 4, 10, 20] - 1086; 1612;
17; 26; 25; 6; 0.2; 0.3; 9; 16; [1, 4, 10, 20] - 1086; 1594;
18; 25; 25; 6; 0.2; 0.3; 9; 15; [1, 4, 10, 20] - 1086; 1594;
19; 25; 28; 6; 0.2; 0.3; 9; 12; [1, 4, 10, 20] - 1086; 1660;
20; 28; 28; 6; 0.2; 0.3; 10; 16; [1, 4, 10, 20] - 1086; 1660;

