geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; SerMutado; NumElitismo; melhor; media
1; 30; 24; 6; 0.2; ; 0.3; 9; 21; [1, 2, 4, 10, 20] - 11631839
2; 24; 23; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861727
3; 23; 23; 4; 0.2; ; 0.3; 7; 11; [1, 4, 10, 20] - 10861689
4; 23; 23; 4; 0.2; ; 0.3; 7; 11; [1, 4, 10, 20] - 10861689
5; 23; 20; 4; 0.2; ; 0.3; 7; 14; [1, 4, 10, 20] - 10861660
6; 20; 26; 12; 0.2; ; 0.3; 8; 14; [1, 4, 10, 20] - 10861711
7; 26; 25; 5; 0.2; ; 0.3; 9; 15; [1, 4, 10, 20] - 10861689
8; 25; 23; 5; 0.2; ; 0.3; 8; 15; [1, 4, 10, 20] - 10861660
9; 23; 22; 4; 0.2; ; 0.3; 7; 12; [1, 4, 10, 20] - 10861660
10; 22; 21; 4; 0.2; ; 0.3; 7; 12; [1, 4, 10, 20] - 10861612
11; 21; 21; 4; 0.2; ; 0.3; 7; 11; [1, 4, 10, 20] - 10861612
12; 21; 22; 4; 0.2; ; 0.3; 7; 10; [1, 4, 10, 20] - 10861660
13; 22; 22; 4; 0.2; ; 0.3; 7; 11; [1, 4, 10, 20] - 10861660
14; 22; 22; 4; 0.2; ; 0.3; 7; 11; [1, 4, 10, 20] - 10861660
15; 22; 20; 4; 0.2; ; 0.3; 7; 13; [1, 4, 10, 20] - 10861612
16; 20; 23; 12; 0.2; ; 0.3; 8; 17; [1, 4, 10, 20] - 10861660
17; 23; 20; 4; 0.2; ; 0.3; 7; 14; [1, 4, 10, 20] - 10861612
18; 20; 22; 12; 0.2; ; 0.3; 8; 18; [1, 4, 10, 20] - 10861660
19; 22; 20; 4; 0.2; ; 0.3; 6; 12; [1, 4, 10, 20] - 10861612
20; 20; 23; 12; 0.2; ; 0.3; 8; 17; [1, 4, 10, 20] - 10861660

