geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 60; 64; 12; 0.2; 0.3; 21; 29; [1, 4, 10, 20] - 1086; 2211;
2; 64; 67; 12; 0.2; 0.3; 22; 31; [1, 2, 4, 10, 20] - 1163; 2208;
3; 67; 72; 13; 0.2; 0.3; 24; 32; [1, 2, 9, 11, 20] - 1165; 2208;
4; 72; 77; 14; 0.2; 0.3; 25; 34; [1, 2, 9, 11, 20] - 1165; 2208;
5; 77; 82; 15; 0.2; 0.3; 27; 37; [1, 2, 9, 11, 20] - 1165; 2211;
6; 82; 86; 16; 0.2; 0.3; 29; 41; [1, 2, 9, 11, 20] - 1165; 2273;
7; 86; 90; 17; 0.2; 0.3; 30; 43; [1, 2, 9, 11, 20] - 1165; 2273;
8; 90; 93; 18; 0.2; 0.3; 32; 47; [1, 3, 9, 11, 20] - 1320; 2291;
9; 93; 95; 18; 0.2; 0.3; 33; 49; [1, 4, 11, 20] - 1408; 2147483646;
10; 95; 96; 19; 0.2; 0.3; 34; 52; [1, 2, 3, 9, 11, 20] - 1453; -2;
11; 96; 97; 19; 0.2; 0.3; 34; 52; [1, 2, 3, 9, 11, 20] - 1453; 2147483646;
12; 97; 98; 19; 0.2; 0.3; 34; 52; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
13; 98; 99; 19; 0.2; 0.3; 35; 53; [1, 3, 5, 6, 7, 18, 19] - 1479; 2147483646;
14; 99; 101; 19; 0.2; 0.3; 35; 52; [1, 2, 4, 10, 20] - 1163; 2147483646;
15; 101; 103; 20; 0.2; 0.3; 36; 54; [1, 2, 4, 10, 20] - 1163; 2147483646;
16; 103; 104; 20; 0.2; 0.3; 36; 55; [1, 2, 4, 10, 20] - 1163; -2;
17; 104; 106; 20; 0.2; 0.3; 37; 55; [1, 2, 4, 10, 20] - 1163; -2;
18; 106; 108; 21; 0.2; 0.3; 38; 57; [1, 2, 4, 10, 20] - 1163; -2;
19; 108; 109; 21; 0.2; 0.3; 38; 58; [1, 2, 4, 10, 20] - 1163; 2147483646;
20; 109; 110; 21; 0.2; 0.3; 39; 59; [1, 2, 4, 10, 20] - 1163; -2;
21; 110; 111; 22; 0.2; 0.3; 39; 60; [1, 2, 4, 10, 20] - 1163; 2147483646;
22; 111; 110; 22; 0.2; 0.3; 39; 62; [1, 3, 9, 11, 20] - 1320; -2;
23; 110; 111; 22; 0.2; 0.3; 39; 60; [1, 2, 4, 10, 20] - 1163; 2147483646;
24; 111; 111; 22; 0.2; 0.3; 39; 61; [1, 3, 9, 11, 20] - 1320; 2147483646;
25; 111; 110; 22; 0.2; 0.3; 39; 62; [1, 2, 3, 9, 11, 20] - 1453; -2;
26; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; -2;
27; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; -2;
28; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; -2;
29; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; -2;
30; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; -2;
31; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; -2;
32; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; -2;
33; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; -2;
34; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; -2;
35; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; -2;
36; 110; 111; 22; 0.2; 0.3; 39; 60; [1, 2, 9, 11, 20] - 1165; 2147483646;
37; 111; 110; 22; 0.2; 0.3; 39; 62; [1, 2, 3, 9, 11, 20] - 1453; -2;
38; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; -2;
39; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; -2;
40; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; -2;
41; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; -2;
42; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; -2;
43; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; -2;
44; 110; 111; 22; 0.2; 0.3; 39; 60; [1, 2, 3, 9, 11, 20] - 1453; 2147483646;
45; 111; 110; 22; 0.2; 0.3; 39; 62; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
46; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
47; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
48; 110; 111; 22; 0.2; 0.3; 39; 60; [1, 2, 3, 9, 11, 20] - 1453; 2147483646;
49; 111; 110; 22; 0.2; 0.3; 39; 62; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
50; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
51; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
52; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
53; 110; 111; 22; 0.2; 0.3; 39; 60; [1, 2, 3, 9, 11, 20] - 1453; 2147483646;
54; 111; 111; 22; 0.2; 0.3; 39; 61; [1, 2, 3, 9, 11, 20] - 1453; 2147483646;
55; 111; 110; 22; 0.2; 0.3; 39; 62; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
56; 110; 111; 22; 0.2; 0.3; 39; 60; [1, 3, 9, 11, 20] - 1320; 2147483646;
57; 111; 110; 22; 0.2; 0.3; 39; 62; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
58; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
59; 110; 110; 22; 0.2; 0.3; 39; 61; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
60; 110; 111; 22; 0.2; 0.3; 39; 60; [1, 2, 4, 10, 20] - 1163; 2147483646;

