geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media;
1; 60; 46; 12; 0.2; 0.3; 21; 47; [1, 4, 10, 20] - 1086; 1844;
2; 46; 35; 9; 0.2; 0.3; 16; 36; [1, 4, 10, 20] - 1086; 1720;
3; 35; 27; 7; 0.2; 0.3; 12; 27; [1, 4, 10, 20] - 1086; 1883;
4; 27; 20; 5; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1814;
5; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 4, 10, 20] - 1163; 1926;
6; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1883;
7; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1844;
8; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1864;
9; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 2, 4, 10, 20] - 1163; 1864;
10; 20; 20; 12; 0.2; 0.3; 9; 21; [1, 4, 10, 20] - 1086; 1864;

