geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 60; 42; 6; 0.1; 3; 0; 0; 0; 0.03; 1; 1; 25;41
2; 42; 28; 4; 0.1; 0; 0; 2; 0; 0.03; 1; 1; 19;38
3; 28; 14; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 16;34
4; 14; 15; 7; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 6;34
5; 15; 14; 7; 0.5; 3; 0; 0; 0; 0.03; 0; 0; 8;33
6; 14; 14; 7; 0.5; 0; 0; 3; 0; 0.03; 0; 0; 7;33
7; 14; 14; 7; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 7;33
8; 14; 16; 7; 0.5; 0; 0; 3; 0; 0.03; 0; 0; 5;33
9; 16; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 5;34
10; 19; 18; 9; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 10;33
11; 18; 19; 9; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 8;33
12; 19; 22; 9; 0.5; 0; 0; 4; 0; 0.03; 0; 0; 6;33
13; 22; 15; 2; 0.1; 0; 0; 1; 0; 0.03; 0; 0; 9;31
14; 15; 15; 7; 0.5; 0; 0; 3; 0; 0.03; 0; 0; 7;31
15; 15; 15; 7; 0.5; 0; 0; 3; 0; 0.03; 0; 0; 7;31
16; 15; 15; 7; 0.5; 0; 0; 3; 0; 0.03; 0; 0; 7;31
17; 15; 16; 7; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 6;32
18; 16; 17; 8; 0.5; 0; 0; 4; 0; 0.03; 0; 0; 7;32
19; 17; 18; 8; 0.5; 0; 0; 4; 0; 0.03; 0; 0; 7;32
20; 18; 18; 9; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 9;32

