geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;SerMutado;NumElitismo;media
1;33;25;6;0.2;0.3;10;9;1839
2;25;26;6;0.2;0.3;9;8;1814
3;26;26;6;0.2;0.3;10;9;1718
4;26;27;6;0.2;0.3;10;9;1711
5;27;26;6;0.2;0.3;10;9;1711
6;26;24;6;0.2;0.3;9;8;1689
7;24;24;4;0.2;0.3;9;8;1689
8;24;24;4;0.2;0.3;9;8;1689
9;24;23;4;0.2;0.3;9;7;1660
10;23;23;4;0.2;0.3;9;8;1660
11;23;24;4;0.2;0.3;9;8;1689
12;24;23;4;0.2;0.3;8;7;1660
13;23;22;4;0.2;0.3;8;7;1660
14;22;20;4;0.2;0.3;8;7;1587
15;20;23;12;0.2;0.3;8;7;1594
16;23;23;4;0.2;0.3;9;7;1594
17;23;23;4;0.2;0.3;9;7;1594
18;23;23;4;0.2;0.3;9;8;1594
19;23;23;4;0.2;0.3;9;8;1594
20;23;22;4;0.2;0.3;8;7;1594

