geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo;media
1;80;47;8;0.1;3;0;1;0;0.03;2;2;43;41
2;47;26;4;0.1;1;0;1;0;0.03;1;1;26;36
3;26;18;2;0.1;1;0;0;0;0.03;1;1;11;34
4;18;20;8;0.5;3;0;1;0;0.03;1;1;7;34
5;20;23;10;0.1;4;0;1;0;0.03;1;1;8;34
6;23;16;2;0.1;1;0;0;0;0.03;1;1;10;32
7;16;20;8;0.5;0;0;4;0;0.03;1;1;5;33
8;20;21;10;0.1;4;0;1;0;0.03;1;1;10;33
9;21;21;2;0.1;0;0;1;0;0.03;1;1;3;33
10;21;19;2;0.1;0;0;1;0;0.03;1;1;5;32
11;19;21;8;0.5;3;0;1;0;0.03;1;1;7;33
12;21;22;2;0.1;0;0;1;0;0.03;1;1;2;33
13;22;20;2;0.1;0;0;1;0;0.03;1;1;5;32
14;20;22;10;0.1;2;0;3;0;0.03;1;1;9;33
15;22;21;2;0.1;1;0;0;0;0.03;1;1;4;32
16;21;16;2;0.1;0;0;1;0;0.03;1;1;8;32
17;16;19;8;0.5;1;0;3;0;0.03;1;1;6;32
18;19;21;8;0.5;2;0;2;0;0.03;1;1;7;32
19;21;17;2;0.1;0;0;1;0;0.03;1;1;7;31
20;17;20;8;0.5;2;0;2;0;0.03;1;1;6;32

