geracao; tamanhoAntesOP;taxaCruzamento;taxaMutacao;melhor;mediana
1;80;0.6;0.15;[1, 2, 3, 23, 33, 49, 58, 62, 70] - 3590;4361
2;80;0.6;0.15;[1, 2, 3, 23, 33, 49, 58, 62, 70] - 3590;4244
3;80;0.6;0.15;[1, 2, 3, 23, 33, 49, 58, 62, 70] - 3590;3978
4;80;0.6;0.15;[1, 2, 3, 23, 33, 49, 58, 62, 70] - 3590;3875
5;80;0.6;0.15;[1, 2, 3, 23, 33, 49, 58, 62, 70] - 3590;4290
6;80;0.6;0.15;[1, 3, 23, 33, 49, 55, 57, 70] - 3541;4179
7;80;0.6;0.15;[1, 3, 23, 33, 49, 55, 57, 70] - 3541;3592
8;80;0.6;0.15;[1, 3, 23, 33, 49, 55, 57, 70] - 3541;4208
9;80;0.6;0.15;[1, 3, 23, 33, 49, 55, 57, 70] - 3541;4173
10;80;0.6;0.15;[1, 3, 5, 12, 22, 33, 47, 55, 57, 70] - 3509;3745
11;80;0.6;0.15;[1, 3, 5, 12, 22, 33, 47, 55, 57, 70] - 3509;4117
12;80;0.6;0.15;[1, 3, 5, 12, 22, 33, 47, 55, 57, 70] - 3509;4178
13;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3590
14;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4114
15;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3621
16;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3946
17;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3665
18;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3930
19;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4043
20;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4132
21;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4147
22;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4135
23;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4305
24;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4036
25;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4047
26;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4025
27;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4318
28;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4247
29;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4098
30;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4121
31;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3964
32;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4243
33;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4470
34;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4308
35;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4222
36;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4424
37;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4064
38;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4283
39;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4381
40;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4347
41;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3429
42;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4345
43;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4323
44;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4210
45;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4246
46;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3809
47;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4164
48;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4263
49;80;0.6;0.15;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4218
