geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo;
1; 40; 28; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 17;
2; 28; 20; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 11;
3; 20; 22; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 9;
4; 22; 11; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 14;
5; 11; 12; 4; 0.5; 0; 0; 2; 0; 0.03; 1; 1; 4;
6; 12; 14; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5;
7; 14; 15; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;
8; 15; 11; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 11;
9; 11; 12; 4; 0.5; 0; 0; 2; 0; 0.03; 1; 1; 4;
10; 12; 14; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 5;

