geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo
1; 40; 26; 4; 0.1; 0; 0; 2; 0; 0.03; 1; 1; 19
2; 26; 16; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 13
3; 16; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 5
4; 20; 16; 10; 0.5; 2; 0; 3; 0; 0.03; 1; 1; 15
5; 16; 18; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 7
6; 18; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9
7; 18; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7
8; 20; 21; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 10
9; 21; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3
10; 21; 14; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 10
11; 14; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 6
12; 15; 17; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 5
13; 17; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6
14; 20; 21; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 10
15; 21; 19; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 5
16; 19; 21; 8; 0.1; 2; 0; 2; 0; 0.03; 1; 1; 7
17; 21; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 3
18; 21; 14; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 10
19; 14; 16; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5
20; 16; 17; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8
21; 17; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 6
22; 20; 25; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 6
23; 25; 23; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 5
24; 23; 13; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 13
25; 13; 13; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 7
26; 13; 13; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 7
27; 13; 13; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 7
28; 13; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6
29; 14; 15; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6
30; 15; 15; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 7
31; 15; 16; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 6
32; 16; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8
33; 17; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7
34; 19; 22; 8; 0.1; 2; 0; 2; 0; 0.03; 1; 1; 6
35; 22; 19; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 6
36; 19; 21; 8; 0.1; 1; 0; 3; 0; 0.03; 1; 1; 7
37; 21; 14; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 10
38; 14; 15; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 6
39; 15; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6
40; 16; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 5

