geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; NumElitismo; melhor; mediana;
1; 20; 21; 12; 0.2; 0.3; 8; 19; [1, 2, 4, 10, 20] - 1163; 1832;
2; 21; 23; 4; 0.2; 0.3; 8; 10; [1, 4, 10, 20] - 1086; 1814;
3; 23; 22; 4; 0.2; 0.3; 8; 13; [1, 4, 10, 20] - 1086; 1711;
4; 22; 23; 4; 0.2; 0.3; 8; 11; [1, 4, 10, 20] - 1086; 1711;
5; 23; 21; 4; 0.2; 0.3; 8; 14; [1, 4, 10, 20] - 1086; 1689;
6; 21; 23; 4; 0.2; 0.3; 8; 10; [1, 4, 10, 20] - 1086; 1711;
7; 23; 23; 4; 0.2; 0.3; 9; 13; [1, 4, 10, 20] - 1086; 1711;
8; 23; 23; 4; 0.2; 0.3; 9; 13; [1, 4, 10, 20] - 1086; 1689;
9; 23; 24; 4; 0.2; 0.3; 9; 12; [1, 4, 10, 20] - 1086; 1711;
10; 24; 23; 4; 0.2; 0.3; 9; 14; [1, 4, 10, 20] - 1086; 1689;
11; 23; 21; 4; 0.2; 0.3; 8; 14; [1, 4, 10, 20] - 1086; 1660;
12; 21; 23; 4; 0.2; 0.3; 8; 10; [1, 4, 10, 20] - 1086; 1689;
13; 23; 20; 4; 0.2; 0.3; 8; 15; [1, 4, 10, 20] - 1086; 1660;
14; 20; 23; 12; 0.2; 0.3; 9; 18; [1, 4, 10, 20] - 1086; 1689;
15; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1689;
16; 23; 25; 4; 0.2; 0.3; 8; 10; [1, 4, 10, 20] - 1086; 1711;
17; 25; 23; 6; 0.2; 0.3; 9; 17; [1, 4, 10, 20] - 1086; 1689;
18; 23; 23; 4; 0.2; 0.3; 9; 13; [1, 4, 10, 20] - 1086; 1689;
19; 23; 22; 4; 0.2; 0.3; 8; 13; [1, 4, 10, 20] - 1086; 1689;
20; 22; 21; 4; 0.2; 0.3; 8; 13; [1, 4, 10, 20] - 1086; 1660;
21; 21; 22; 4; 0.2; 0.3; 8; 11; [1, 4, 10, 20] - 1086; 1689;
22; 22; 23; 4; 0.2; 0.3; 8; 11; [1, 4, 10, 20] - 1086; 1689;
23; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1660;
24; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1587;
25; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1587;
26; 23; 25; 4; 0.2; 0.3; 9; 11; [1, 4, 10, 20] - 1086; 1660;
27; 25; 26; 6; 0.2; 0.3; 9; 14; [1, 4, 10, 20] - 1086; 1660;
28; 26; 27; 6; 0.2; 0.3; 10; 15; [1, 4, 10, 20] - 1086; 1660;
29; 27; 25; 6; 0.2; 0.3; 9; 17; [1, 4, 10, 20] - 1086; 1612;
30; 25; 24; 6; 0.2; 0.3; 9; 16; [1, 4, 10, 20] - 1086; 1612;

