geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;mediana
1;20;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 55, 58, 62, 70] - 3683;4563
2;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 55, 58, 62, 70] - 3683;4268
3;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 55, 58, 62, 70] - 3683;4168
4;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 55, 58, 62, 70] - 3683;4310
5;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 55, 58, 62, 70] - 3683;4054
6;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 55, 58, 62, 70] - 3683;4251
7;80;80;0;0.6;0.15;0;0;[1, 2, 9, 13, 40, 44, 56, 63, 70] - 3659;4171
8;80;80;0;0.6;0.15;0;0;[1, 2, 9, 13, 40, 44, 56, 63, 70] - 3659;4275
9;80;80;0;0.6;0.15;0;0;[1, 2, 9, 13, 40, 44, 56, 63, 70] - 3659;4484
10;80;80;0;0.6;0.15;0;0;[1, 2, 9, 13, 40, 44, 56, 63, 70] - 3659;4318
11;80;80;0;0.6;0.15;0;0;[1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504;3893
12;80;80;0;0.6;0.15;0;0;[1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504;4398
13;80;80;0;0.6;0.15;0;0;[1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504;4243
14;80;80;0;0.6;0.15;0;0;[1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504;3683
15;80;80;0;0.6;0.15;0;0;[1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504;4017
16;80;80;0;0.6;0.15;0;0;[1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504;3998
17;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3629
18;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4097
19;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3998
20;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3967
21;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3550
22;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4052
23;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3860
24;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3985
25;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4200
26;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4205
27;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3504
28;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4181
29;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4117
30;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4484
31;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4376
32;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4062
33;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4429
34;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4311
35;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4360
36;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4132
37;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4342
38;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4252
39;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4246
40;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4076
41;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4301
42;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4292
43;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4294
44;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3801
45;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3801
46;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4105
47;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4105
48;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4106
49;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4431
50;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4110
51;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4171
52;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4274
53;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4410
54;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4410
55;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4195
56;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4144
57;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4440
58;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4370
59;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4076
60;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4102
61;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4566
62;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4124
63;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3633
64;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4111
65;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4317
66;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3949
67;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4195
68;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4006
69;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4219
70;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4532
71;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4102
72;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;3429
73;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4195
74;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4175
75;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4266
76;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4063
77;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4232
78;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4248
79;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4294
80;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4125
81;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4151
82;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4151
83;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4303
84;80;80;0;0.6;0.15;0;0;[1, 3, 23, 33, 47, 55, 57, 70] - 3429;4103
