geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; SerMutado; NumElitismo; melhor; media
1; 20; 18; 12; 0.2; ; 0.3; 7; 21; [1, 2, 4, 10, 20] - 11631890
2; 18; 20; 10; 0.6; ; 0.3; 6; 14; [1, 4, 10, 20] - 10861814
3; 20; 23; 12; 0.2; ; 0.3; 8; 17; [1, 4, 10, 20] - 10861689
4; 23; 22; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861689
5; 22; 23; 4; 0.2; ; 0.3; 7; 10; [1, 4, 10, 20] - 10861689
6; 23; 21; 4; 0.2; ; 0.3; 7; 13; [1, 4, 10, 20] - 10861660
7; 21; 19; 4; 0.2; ; 0.3; 6; 12; [1, 4, 10, 20] - 10861556
8; 19; 22; 11; 0.6; ; 0.3; 7; 15; [1, 4, 10, 20] - 10861689
9; 22; 20; 4; 0.2; ; 0.3; 7; 13; [1, 4, 10, 20] - 10861660
10; 20; 23; 12; 0.2; ; 0.3; 8; 17; [1, 4, 10, 20] - 10861660

