geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; NumElitismo; melhor; mediana;
1; 18; 19; 10; 0.6; 0.3; 7; 16; [1, 4, 10, 20] - 1086; 1814;
2; 19; 21; 11; 0.6; 0.3; 7; 16; [1, 4, 10, 20] - 1086; 1731;
3; 21; 20; 4; 0.2; 0.3; 6; 11; [1, 4, 10, 20] - 1086; 1711;
4; 20; 23; 12; 0.2; 0.3; 8; 17; [1, 4, 10, 20] - 1086; 1731;
5; 23; 24; 4; 0.2; 0.3; 7; 10; [1, 4, 10, 20] - 1086; 1814;
6; 24; 23; 4; 0.2; 0.3; 8; 13; [1, 4, 10, 20] - 1086; 1731;
7; 23; 23; 4; 0.2; 0.3; 7; 11; [1, 4, 10, 20] - 1086; 1731;
8; 23; 23; 4; 0.2; 0.3; 8; 12; [1, 4, 10, 20] - 1086; 1731;
9; 23; 21; 4; 0.2; 0.3; 7; 13; [1, 4, 10, 20] - 1086; 1711;
10; 21; 21; 4; 0.2; 0.3; 7; 11; [1, 4, 10, 20] - 1086; 1711;
11; 21; 22; 4; 0.2; 0.3; 7; 10; [1, 4, 10, 20] - 1086; 1731;
12; 22; 22; 4; 0.2; 0.3; 7; 11; [1, 4, 10, 20] - 1086; 1731;
13; 22; 22; 4; 0.2; 0.3; 7; 11; [1, 4, 10, 20] - 1086; 1711;
14; 22; 21; 4; 0.2; 0.3; 7; 12; [1, 4, 10, 20] - 1086; 1660;
15; 21; 21; 4; 0.2; 0.3; 7; 11; [1, 4, 10, 20] - 1086; 1660;
16; 21; 22; 4; 0.2; 0.3; 7; 10; [1, 4, 10, 20] - 1086; 1711;
17; 22; 21; 4; 0.2; 0.3; 7; 12; [1, 4, 10, 20] - 1086; 1660;
18; 21; 22; 4; 0.2; 0.3; 7; 10; [1, 4, 10, 20] - 1086; 1711;
19; 22; 22; 4; 0.2; 0.3; 7; 11; [1, 4, 10, 20] - 1086; 1711;
20; 22; 23; 4; 0.2; 0.3; 7; 10; [1, 4, 10, 20] - 1086; 1711;

