geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 2, 9, 13, 23, 33, 49, 55, 57, 70] - 3562; 4477;
2; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 2, 9, 13, 23, 33, 49, 55, 57, 70] - 3562; 4238;
3; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 2, 9, 13, 23, 33, 49, 55, 57, 70] - 3562; 4214;
4; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 3, 23, 33, 49, 55, 57, 70] - 3541; 4085;
5; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 3, 23, 33, 49, 55, 57, 70] - 3541; 4171;
6; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504; 4247;
7; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 3, 12, 22, 25, 33, 47, 55, 57, 70] - 3504; 4224;
8; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4039;
9; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 3980;
10; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4078;
11; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4082;
12; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4162;
13; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4407;
14; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4362;
15; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4241;
16; 200; 200; 50; 0.6; 0.15; 30; 0; [1, 3, 23, 33, 47, 55, 57, 70] - 3429; 4351;
