geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;mediana
1;200;171;40;0.2;0.15;41;146;[1, 3, 23, 33, 41, 45, 57, 70]: 3628, trocas: 3;4748
2;171;141;34;0.2;0.15;34;126;[1, 3, 23, 33, 49, 58, 62, 70]: 3457, trocas: 0;4651
3;141;116;28;0.2;0.15;28;103;[1, 3, 23, 33, 49, 58, 62, 70]: 3457, trocas: 0;4537
4;116;100;23;0.2;0.15;23;82;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;4447
5;100;94;20;0.2;0.15;20;64;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;4269
6;94;80;18;0.2;0.15;18;60;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;4269
7;80;74;16;0.2;0.15;15;45;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;4052
8;74;68;14;0.2;0.15;14;44;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;4102
9;68;57;13;0.2;0.15;13;45;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;4123
10;57;51;11;0.2;0.15;11;34;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;4052
11;51;49;10;0.2;0.15;10;28;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3779
12;49;48;9;0.2;0.15;9;23;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3541
13;48;48;9;0.2;0.15;9;24;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3541
14;48;48;9;0.2;0.15;9;24;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3541
15;48;47;9;0.2;0.15;9;25;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3457
16;47;48;9;0.2;0.15;9;23;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3525
17;48;46;9;0.2;0.15;9;26;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3717
18;46;45;9;0.2;0.15;9;25;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3457
19;45;38;9;0.2;0.15;8;28;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;4022
20;38;35;7;0.2;0.15;7;19;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3805
21;35;30;7;0.2;0.15;6;20;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3992
22;30;31;6;0.2;0.15;6;17;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3457
23;31;33;6;0.2;0.15;6;16;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3500
24;33;30;6;0.2;0.15;5;14;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3457
25;30;31;6;0.2;0.15;6;15;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3457
26;31;31;6;0.2;0.15;6;16;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3457
27;31;32;6;0.2;0.15;6;17;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3571
28;32;31;6;0.2;0.15;6;17;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3712
29;31;31;6;0.2;0.15;6;16;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3457
30;31;28;6;0.2;0.15;5;14;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3429
31;28;25;5;0.2;0.15;5;17;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3571
32;25;26;5;0.2;0.15;5;13;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3571
33;26;21;5;0.2;0.15;4;14;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3590
34;21;19;4;0.2;0.15;3;9;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3429
35;19;26;11;0.6;0.15;5;15;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;4102
36;26;26;5;0.2;0.15;5;14;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;4017
37;26;26;5;0.2;0.15;5;14;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;4017
38;26;27;5;0.2;0.15;5;13;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3429
39;27;24;5;0.2;0.15;5;15;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3951
40;24;17;4;0.2;0.15;4;17;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;4038
41;17;24;10;0.6;0.15;4;13;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3842
42;24;19;4;0.2;0.15;4;17;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3730
43;19;26;11;0.6;0.15;5;17;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;4291
44;26;25;5;0.2;0.15;5;15;[1, 3, 23, 33, 47, 55, 57, 70]: 3429, trocas: 3;3730
