geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 40; 27; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 36;40
2; 27; 16; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 28;35
3; 16; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 12;35
4; 19; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 22;34
5; 17; 15; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 22;33
6; 15; 13; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 18;33
7; 13; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 12;33
8; 14; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 12;33
9; 15; 17; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 10;33
10; 17; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 16;33
11; 18; 22; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 10;34
12; 22; 18; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 14;33
13; 18; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 16;33
14; 19; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 16;33
15; 20; 20; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 22;33
16; 20; 20; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 22;33
17; 20; 20; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 22;33
18; 20; 22; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 18;34
19; 22; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 8;33
20; 21; 14; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 20;32
21; 14; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 12;32
22; 15; 16; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 12;32
23; 16; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 16;32
24; 17; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 14;33
25; 19; 21; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 14;33
26; 21; 16; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 16;32
27; 16; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 16;32
28; 17; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 16;32
29; 18; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 16;32
30; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 16;33

