geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; SerMutado; NumElitismo; melhor; media
1; 29; 23; 6; 0.2; ; 0.3; 10; 22; [1, 2, 4, 10, 20] - 11631814
2; 23; 23; 4; 0.2; ; 0.3; 8; 12; [1, 4, 10, 20] - 10861711
3; 23; 21; 4; 0.2; ; 0.3; 8; 14; [1, 4, 10, 20] - 10861660
4; 21; 20; 4; 0.2; ; 0.3; 7; 12; [1, 4, 10, 20] - 10861660
5; 20; 24; 12; 0.2; ; 0.3; 9; 17; [1, 4, 10, 20] - 10861711
6; 24; 23; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861689
7; 23; 23; 4; 0.2; ; 0.3; 8; 12; [1, 4, 10, 20] - 10861660
8; 23; 23; 4; 0.2; ; 0.3; 9; 13; [1, 4, 10, 20] - 10861660
9; 23; 22; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861660
10; 22; 23; 4; 0.2; ; 0.3; 8; 11; [1, 4, 10, 20] - 10861660
11; 23; 24; 4; 0.2; ; 0.3; 8; 11; [1, 4, 10, 20] - 10861689
12; 24; 23; 4; 0.2; ; 0.3; 9; 14; [1, 4, 10, 20] - 10861660
13; 23; 22; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861660
14; 22; 23; 4; 0.2; ; 0.3; 8; 11; [1, 4, 10, 20] - 10861660
15; 23; 23; 4; 0.2; ; 0.3; 8; 12; [1, 4, 10, 20] - 10861660
16; 23; 24; 4; 0.2; ; 0.3; 9; 12; [1, 4, 10, 20] - 10861660
17; 24; 22; 4; 0.2; ; 0.3; 8; 14; [1, 4, 10, 20] - 10861612
18; 22; 21; 4; 0.2; ; 0.3; 8; 13; [1, 4, 10, 20] - 10861587
19; 21; 23; 4; 0.2; ; 0.3; 8; 10; [1, 4, 10, 20] - 10861612
20; 23; 23; 4; 0.2; ; 0.3; 9; 13; [1, 4, 10, 20] - 10861612

