geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 40; 40; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 5;46.0
2; 40; 40; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 5;44.0
3; 40; 40; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 5;43.0
4; 40; 41; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 4;43.0
5; 41; 41; 4; 0.1; 0; 0; 2; 0; 0.03; 1; 1; 5;43.0
6; 41; 41; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 5;42.0
7; 41; 42; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 4;42.0
8; 42; 43; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 4;40.0
9; 43; 42; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 6;40.0
10; 42; 43; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 4;40.0
11; 43; 44; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 4;40.0
12; 44; 43; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 6;40.0
13; 43; 43; 4; 0.1; 0; 0; 2; 0; 0.03; 1; 1; 5;40.0
14; 43; 43; 4; 0.1; 0; 0; 2; 0; 0.03; 1; 1; 5;40.0
15; 43; 43; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 5;40.0
16; 43; 44; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 4;40.0
17; 44; 43; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 6;38.0
18; 43; 43; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 5;38.0
19; 43; 42; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 6;38.0
20; 42; 42; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 5;38.0
21; 42; 42; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 5;38.0
22; 42; 42; 4; 0.1; 0; 0; 2; 0; 0.03; 1; 1; 5;38.0
23; 42; 43; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 4;37.0
24; 43; 44; 4; 0.1; 0; 0; 2; 0; 0.03; 1; 1; 4;37.0
25; 44; 45; 4; 0.1; 0; 0; 2; 0; 0.03; 1; 1; 4;37.0
26; 45; 45; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 5;37.0
27; 45; 45; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 5;37.0
28; 45; 46; 4; 0.1; 0; 0; 2; 0; 0.03; 1; 1; 4;37.0
29; 46; 47; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 4;37.0
30; 47; 48; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 4;37.0
31; 48; 50; 4; 0.1; 0; 0; 2; 0; 0.03; 1; 1; 3;37.0
32; 50; 52; 5; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 4;37.0
33; 52; 54; 5; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 4;37.0
34; 54; 56; 5; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 4;37.0
35; 56; 57; 5; 0.1; 0; 0; 2; 0; 0.03; 1; 1; 5;37.0
36; 57; 58; 5; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 5;38.0
37; 58; 59; 5; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 5;37.0
38; 59; 59; 5; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 6;37.0
39; 59; 60; 5; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 5;37.0
40; 60; 62; 6; 0.1; 2; 0; 1; 0; 0.03; 1; 1; 5;37.0
41; 62; 64; 6; 0.1; 2; 0; 1; 0; 0.03; 2; 2; 6;37.0
42; 64; 65; 6; 0.1; 3; 0; 0; 0; 0.03; 2; 2; 7;37.0
43; 65; 66; 6; 0.1; 2; 0; 1; 0; 0.03; 2; 2; 7;37.0
44; 66; 66; 6; 0.1; 2; 0; 1; 0; 0.03; 2; 2; 8;37.0
45; 66; 67; 6; 0.1; 2; 0; 1; 0; 0.03; 2; 2; 7;37.0
46; 67; 68; 6; 0.1; 2; 0; 1; 0; 0.03; 2; 2; 7;37.0
47; 68; 68; 6; 0.1; 1; 0; 2; 0; 0.03; 2; 2; 8;37.0
48; 68; 69; 6; 0.1; 2; 0; 1; 0; 0.03; 2; 2; 7;37.0
49; 69; 70; 6; 0.1; 1; 0; 2; 0; 0.03; 2; 2; 7;38.0
50; 70; 71; 7; 0.1; 2; 0; 1; 0; 0.03; 2; 2; 8;38.0

