geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo;media
1;40;29;4;0.1;1;0;1;0;0.03;1;1;16;41
2;29;12;2;0.1;1;0;0;0;0.03;0;0;19;36
3;12;13;6;0.5;0;0;3;0;0.03;0;0;5;36
4;13;14;6;0.5;2;0;1;0;0.03;0;0;5;36
5;14;14;7;0.5;3;0;0;0;0.03;0;0;7;35
6;14;16;7;0.5;3;0;0;0;0.03;0;0;5;35
7;16;17;8;0.5;2;0;2;0;0.03;0;0;7;35
8;17;18;8;0.5;3;0;1;0;0.03;0;0;7;35
9;18;19;9;0.5;3;0;1;0;0.03;0;0;8;35
10;19;20;9;0.5;2;0;2;0;0.03;0;0;8;35
11;20;23;10;0.1;2;0;3;0;0.03;0;0;7;36
12;23;20;2;0.1;1;0;0;0;0.03;0;0;5;35
13;20;23;10;0.1;2;0;3;0;0.03;0;0;7;35
14;23;12;2;0.1;1;0;0;0;0.03;0;0;13;32
15;12;13;6;0.5;3;0;0;0;0.03;0;0;5;32
16;13;14;6;0.5;2;0;1;0;0.03;0;0;5;32
17;14;14;7;0.5;3;0;0;0;0.03;0;0;7;32
18;14;16;7;0.5;1;0;2;0;0.03;0;0;5;33
19;16;16;8;0.5;1;0;3;0;0.03;0;0;8;33
20;16;18;8;0.5;2;0;2;0;0.03;0;0;6;33

