geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 31; 24; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 8;1720
2; 24; 20; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 7;1660
3; 20; 20; 10; 0.1; 2; 2; 1; 0; 0.03; 1; 1; 7;1660
4; 20; 23; 10; 0.1; 4; 1; 0; 0; 0.03; 1; 1; 7;1711
5; 23; 19; 2; 0.1; 0; 1; 0; 0; 0.03; 1; 1; 6;1619
6; 19; 21; 8; 0.5; 2; 1; 1; 0; 0.03; 1; 1; 7;1660
7; 21; 18; 2; 0.1; 0; 1; 0; 0; 0.03; 1; 1; 6;1619
8; 18; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;1619
9; 20; 20; 10; 0.1; 3; 1; 1; 0; 0.03; 1; 1; 7;1619
10; 20; 22; 10; 0.1; 3; 1; 1; 0; 0.03; 1; 1; 7;1660

