geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; media
1; 60; 62; 12; 0.2; 0.3; 22; 32; [1, 2, 4, 10, 20] - 1163; 2291;
2; 62; 66; 12; 0.2; 0.3; 23; 31; [1, 2, 4, 10, 20] - 1163; 2273;
3; 66; 69; 14; 0.2; 0.3; 24; 35; [1, 2, 9, 11, 20] - 1165; 2273;
4; 69; 71; 14; 0.2; 0.3; 25; 37; [1, 4, 11, 20] - 1408; 2291;
5; 71; 76; 14; 0.2; 0.3; 26; 35; [1, 4, 11, 20] - 1408; 2237;
6; 76; 79; 16; 0.2; 0.3; 28; 41; [1, 2, 3, 9, 11, 20] - 1453; 2291;
7; 79; 82; 16; 0.2; 0.3; 29; 42; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
8; 82; 84; 16; 0.2; 0.3; 30; 44; [1, 3, 5, 6, 7, 18, 19] - 1479; -2;
9; 84; 85; 16; 0.2; 0.3; 30; 45; [1, 3, 5, 6, 7, 18, 19] - 1479; 2147483646;
10; 85; 87; 18; 0.2; 0.3; 31; 47; [1, 2, 4, 11, 20] - 1485; 2147483646;

