geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; taxaMutacao; Nummutacao; NumElitismo; melhor; mediana;
1; 60; 54; 12; 0.2; 0.15; 11; 29; [1, 2, 9, 21, 31, 32, 40, 41, 45, 57, 70] - 3860; 4686;
2; 54; 47; 10; 0.2; 0.15; 10; 27; [1, 2, 9, 21, 31, 32, 40, 41, 45, 57, 70] - 3860; 4354;
3; 47; 44; 10; 0.2; 0.15; 9; 22; [1, 2, 9, 21, 31, 32, 40, 41, 45, 57, 70] - 3860; 4296;
4; 44; 40; 8; 0.2; 0.15; 8; 20; [1, 2, 9, 21, 31, 32, 40, 41, 45, 57, 70] - 3860; 4179;
5; 40; 39; 8; 0.2; 0.15; 8; 17; [1, 2, 9, 21, 31, 32, 40, 41, 45, 57, 70] - 3860; 4169;
6; 39; 38; 8; 0.2; 0.15; 8; 17; [1, 2, 9, 21, 31, 32, 40, 41, 45, 57, 70] - 3860; 4155;
7; 38; 36; 8; 0.2; 0.15; 7; 17; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 4150;
8; 36; 37; 8; 0.2; 0.15; 7; 14; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 4109;
9; 37; 36; 8; 0.2; 0.15; 7; 16; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 4096;
10; 36; 36; 8; 0.2; 0.15; 7; 15; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 4046;
11; 36; 35; 8; 0.2; 0.15; 7; 16; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 4043;
12; 35; 36; 8; 0.2; 0.15; 7; 14; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 4043;
13; 36; 37; 8; 0.2; 0.15; 7; 14; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 4043;
14; 37; 39; 8; 0.2; 0.15; 7; 13; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 4046;
15; 39; 40; 8; 0.2; 0.15; 8; 15; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 4025;
16; 40; 40; 8; 0.2; 0.15; 8; 16; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 4025;
17; 40; 42; 8; 0.2; 0.15; 8; 14; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 4043;
18; 42; 42; 8; 0.2; 0.15; 8; 16; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 4025;
19; 42; 43; 8; 0.2; 0.15; 8; 15; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 4017;
20; 43; 43; 8; 0.2; 0.15; 8; 16; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 4017;
21; 43; 43; 8; 0.2; 0.15; 8; 16; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 3995;
22; 43; 43; 8; 0.2; 0.15; 8; 16; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 3995;
23; 43; 41; 8; 0.2; 0.15; 8; 18; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 3968;
24; 41; 40; 8; 0.2; 0.15; 8; 17; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 3945;
25; 40; 39; 8; 0.2; 0.15; 8; 17; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 3941;
26; 39; 41; 8; 0.2; 0.15; 8; 14; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 3942;
27; 41; 42; 8; 0.2; 0.15; 8; 15; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 3942;
28; 42; 44; 8; 0.2; 0.15; 8; 14; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 3942;
29; 44; 44; 8; 0.2; 0.15; 8; 16; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 3942;
30; 44; 44; 8; 0.2; 0.15; 8; 16; [1, 2, 9, 21, 23, 33, 49, 58, 62, 70] - 3528; 3942;

