geracao; tamanhoAntesOP;taxaCruzamento;taxaMutacao;melhor;mediana
1;60;0.6;0.15;[1, 3, 23, 25, 33, 49, 58, 62, 70] - 3619;4548
2;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4221
3;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4013
4;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3895
5;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3820
6;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3677
7;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;3677
8;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4266
9;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4211
10;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4175
11;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4207
12;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4257
13;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4168
14;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4369
15;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4126
16;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4214
17;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4091
18;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4395
19;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4441
20;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4013
21;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4151
22;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4258
23;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4371
24;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4124
25;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4331
26;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4013
27;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4088
28;80;0.6;0.15;[1, 3, 23, 33, 49, 58, 62, 70] - 3457;4505
