geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo;media
1;60;42;6;0.1;3;0;0;0;0.03;1;1;25;41
2;42;25;4;0.1;1;0;1;0;0.03;1;1;22;36
3;25;20;2;0.1;1;0;0;0;0.03;1;1;8;35
4;20;21;10;0.1;5;0;0;0;0.03;1;1;10;35
5;21;17;2;0.1;0;0;1;0;0.03;1;1;7;34
6;17;17;8;0.5;3;0;1;0;0.03;1;1;9;34
7;17;21;8;0.5;3;0;1;0;0.03;1;1;5;34
8;21;16;2;0.1;1;0;0;0;0.03;1;1;8;33
9;16;19;8;0.5;2;0;2;0;0.03;1;1;6;34
10;19;20;8;0.5;2;0;2;0;0.03;1;1;8;33
11;20;19;10;0.1;3;0;2;0;0.03;1;1;12;33
12;19;20;8;0.5;2;0;2;0;0.03;1;1;8;33
13;20;21;10;0.1;3;0;2;0;0.03;1;1;10;34
14;21;18;2;0.1;1;0;0;0;0.03;1;1;6;33
15;18;18;8;0.5;2;0;2;0;0.03;1;1;9;33
16;18;20;8;0.5;1;0;3;0;0.03;1;1;7;33
17;20;25;10;0.1;0;0;5;0;0.03;1;1;6;34
18;25;16;2;0.1;1;0;0;0;0.03;1;1;12;32
19;16;18;8;0.5;1;0;3;0;0.03;1;1;7;33
20;18;16;8;0.5;1;0;3;0;0.03;1;1;11;32
21;16;16;8;0.5;2;0;2;0;0.03;1;1;9;32
22;16;19;8;0.5;2;0;2;0;0.03;1;1;6;33
23;19;21;8;0.5;1;0;3;0;0.03;1;1;7;33
24;21;14;2;0.1;0;0;1;0;0.03;1;1;10;31
25;14;14;6;0.5;1;0;2;0;0.03;1;1;7;31
26;14;14;6;0.5;1;0;2;0;0.03;1;1;7;31
27;14;17;6;0.5;0;0;3;0;0.03;1;1;4;32
28;17;19;8;0.5;0;0;4;0;0.03;1;1;7;33
29;19;18;8;0.5;1;0;3;0;0.03;1;1;10;32
30;18;19;8;0.5;4;0;0;0;0.03;1;1;8;32

