geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 60; 39; 6; 0.1; 3; 0; 0; 0; 0.03; 1; 1; 28;39;
2; 39; 23; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 19;35;
3; 23; 16; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 10;33;
4; 16; 17; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;34;
5; 17; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;33;
6; 18; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 9;33;
7; 18; 21; 8; 0.1; 4; 0; 0; 0; 0.03; 1; 1; 6;34;
8; 21; 11; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 13;31;
9; 11; 11; 4; 0.5; 0; 0; 2; 0; 0.03; 1; 1; 5;31;
10; 11; 11; 4; 0.5; 1; 0; 1; 0; 0.03; 1; 1; 5;31;
11; 11; 12; 4; 0.5; 0; 0; 2; 0; 0.03; 1; 1; 4;31;
12; 12; 13; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 6;31;
13; 13; 15; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 5;31;
14; 15; 15; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 7;31;
15; 15; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;32;
16; 16; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;32;
17; 17; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;32;
18; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;33;
19; 20; 20; 10; 0.5; 2; 0; 3; 0; 0.03; 1; 1; 11;33;
20; 20; 22; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 9;33;

