geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; N??oCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 33; 25; 3; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 8;1814
2; 25; 20; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 7;1711
3; 20; 20; 10; 0.1; 3; 1; 1; 0; 0.03; 0; 0; 7;1711
4; 20; 21; 10; 0.1; 3; 2; 0; 0; 0.03; 0; 0; 7;1660
5; 21; 17; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 6;1527
6; 17; 18; 8; 0.5; 1; 2; 1; 0; 0.03; 0; 0; 6;1612
7; 18; 17; 9; 0.5; 2; 1; 1; 0; 0.03; 0; 0; 6;1527
8; 17; 18; 8; 0.5; 2; 2; 0; 0; 0.03; 0; 0; 6;1612
9; 18; 20; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 6;1660
10; 20; 20; 10; 0.1; 3; 2; 0; 0; 0.03; 0; 0; 7;1612

