geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo;media
1;60;42;6;0.1;3;0;0;0;0.03;2;2;26;40
2;42;25;4;0.1;0;0;2;0;0.03;2;2;23;38
3;25;18;2;0.5;1;0;0;0;0.03;1;1;10;36
4;18;21;10;0.1;4;0;1;0;0.03;1;1;8;36
5;21;14;2;0.5;0;0;1;0;0.03;1;1;10;35
6;14;16;8;0.5;3;0;1;0;0.03;1;1;7;35
7;16;16;8;0.5;1;0;3;0;0.03;1;1;9;34
8;16;17;8;0.5;3;0;1;0;0.03;1;1;8;34
9;17;18;8;0.5;2;0;2;0;0.03;1;1;8;34
10;18;21;10;0.1;1;0;4;0;0.03;1;1;8;34
11;21;13;2;0.5;0;0;1;0;0.03;1;1;11;32
12;13;15;6;0.5;1;0;2;0;0.03;1;1;5;32
13;15;16;8;0.5;2;0;2;0;0.03;1;1;8;33
14;16;19;8;0.5;1;0;3;0;0.03;1;1;6;33
15;19;23;10;0.1;1;0;4;0;0.03;1;1;7;34
16;23;15;2;0.5;1;0;0;0;0.03;1;1;11;32
17;15;18;8;0.5;1;0;3;0;0.03;1;1;6;33
18;18;20;10;0.1;1;0;4;0;0.03;1;1;9;34
19;20;16;2;0.5;0;0;1;0;0.03;1;1;7;32
20;16;18;8;0.5;0;0;4;0;0.03;1;1;7;33

