geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 80; 55; 8; 0.1; 4; 0; 0; 0; 0.03; 2; 2; 35;42;
2; 55; 31; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 29;37;
3; 31; 21; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 13;35;
4; 21; 19; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 5;34;
5; 19; 20; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;34;
6; 20; 21; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 10;35;
7; 21; 13; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 11;33;
8; 13; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;33;
9; 14; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 6;33;
10; 15; 15; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 7;33;
11; 15; 14; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 8;33;
12; 14; 14; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 7;33;
13; 14; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 5;33;
14; 16; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;33;
15; 18; 19; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;33;
16; 19; 21; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7;33;
17; 21; 14; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 10;32;
18; 14; 15; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 6;32;
19; 15; 15; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7;32;
20; 15; 17; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 5;33;

