geracao; tamanhoAntesOP;tamanhoDepoisOP;quantidadeCruzados;taxaCruzamento;taxaMutacao;Nummutacao;NumElitismo;melhor;media
1;80;79;16;0.2;0.3;28;45;[1, 2, 4, 10, 20] - 1163;2147483646
2;79;78;15;0.2;0.3;28;44;[1, 2, 9, 11, 20] - 1165;-2
3;78;79;15;0.2;0.3;27;41;[1, 3, 9, 11, 20] - 1320;2147483646
4;79;81;15;0.2;0.3;28;41;[1, 4, 11, 20] - 1408;2291
5;81;83;16;0.2;0.3;29;43;[1, 2, 3, 9, 11, 20] - 1453;2147483646
6;83;84;16;0.2;0.3;29;44;[1, 3, 5, 6, 7, 18, 19] - 1479;-2
7;84;85;16;0.2;0.3;30;45;[1, 3, 5, 6, 7, 18, 19] - 1479;2147483646
8;85;87;17;0.2;0.3;30;45;[1, 2, 3, 9, 11, 20] - 1453;2147483646
9;87;89;17;0.2;0.3;31;46;[1, 2, 3, 9, 11, 20] - 1453;2147483646
10;89;90;17;0.2;0.3;31;47;[1, 2, 3, 9, 11, 20] - 1453;-2
11;90;91;18;0.2;0.3;32;49;[1, 3, 5, 6, 7, 18, 19] - 1479;2147483646
12;91;92;18;0.2;0.3;32;49;[1, 3, 5, 6, 7, 18, 19] - 1479;-2
13;92;93;18;0.2;0.3;33;50;[1, 3, 5, 6, 7, 18, 19] - 1479;2147483646
14;93;93;18;0.2;0.3;33;51;[1, 3, 5, 6, 7, 18, 19] - 1479;2147483646
15;93;95;18;0.2;0.3;33;49;[1, 3, 5, 6, 7, 18, 19] - 1479;2147483646
16;95;97;19;0.2;0.3;34;51;[1, 2, 3, 9, 11, 20] - 1453;2147483646
17;97;98;19;0.2;0.3;34;52;[1, 2, 3, 9, 11, 20] - 1453;-2
18;98;100;19;0.2;0.3;35;52;[1, 3, 5, 6, 7, 18, 19] - 1479;-2
19;100;102;20;0.2;0.3;36;54;[1, 3, 5, 6, 7, 18, 19] - 1479;-2
20;102;103;20;0.2;0.3;36;55;[1, 3, 5, 6, 7, 18, 19] - 1479;2147483646

