geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 80; 59; 8; 0.1; 3; 0; 1; 0; 0.03; 2; 2; 31;42;
2; 59; 36; 5; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 29;38;
3; 36; 21; 3; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 19;36;
4; 21; 17; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 6;35;
5; 17; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 7;34;
6; 18; 22; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 5;35;
7; 22; 11; 2; 0.1; 1; 0; 0; 0; 0.03; 0; 0; 13;32;
8; 11; 12; 5; 0.5; 1; 0; 1; 0; 0.03; 0; 0; 4;33;
9; 12; 13; 6; 0.5; 2; 0; 1; 0; 0.03; 0; 0; 5;33;
10; 13; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 0; 0; 5;33;

