geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media;
1; 80; 54; 8; 0.1; 4; 0; 0; 0; 0.03; 2; 2; 36;43;
2; 54; 30; 4; 0.1; 0; 0; 2; 0; 0.03; 1; 1; 29;38;
3; 30; 11; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 22;33;
4; 11; 12; 4; 0.5; 0; 0; 2; 0; 0.03; 1; 1; 4;33;
5; 12; 15; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 4;34;
6; 15; 18; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 4;35;
7; 18; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;35;
8; 19; 21; 8; 0.1; 2; 0; 2; 0; 0.03; 1; 1; 7;35;
9; 21; 18; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 6;34;
10; 18; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;34;

