geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo; media
1; 80; 53; 8; 0.1; 3; 0; 1; 0; 0.03; 3; 3; 38;42
2; 53; 37; 6; 0.1; 3; 0; 0; 0; 0.03; 2; 2; 24;39
3; 37; 28; 4; 0.1; 2; 0; 0; 0; 0.03; 2; 2; 15;37
4; 28; 19; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 12;35
5; 19; 20; 10; 0.5; 1; 0; 4; 0; 0.03; 1; 1; 10;35
6; 20; 22; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 9;36
7; 22; 20; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 5;35
8; 20; 22; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 9;35
9; 22; 18; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 7;35
10; 18; 20; 10; 0.5; 4; 0; 1; 0; 0.03; 1; 1; 9;35
11; 20; 19; 10; 0.5; 2; 0; 3; 0; 0.03; 1; 1; 12;35
12; 19; 21; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 9;35
13; 21; 15; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 9;33
14; 15; 15; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;33
15; 15; 16; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;34
16; 16; 17; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;34
17; 17; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;34
18; 19; 20; 10; 0.5; 3; 0; 2; 0; 0.03; 1; 1; 10;34
19; 20; 22; 10; 0.1; 3; 0; 2; 0; 0.03; 1; 1; 9;34
20; 22; 13; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 12;32
21; 13; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;33
22; 14; 17; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 6;34
23; 17; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;34
24; 19; 21; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 9;33
25; 21; 16; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 8;32
26; 16; 16; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 9;32
27; 16; 16; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 9;32
28; 16; 17; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;32
29; 17; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 7;33
30; 19; 22; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 8;33

