geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo;
1; 40; 28; 4; 0.1; 0; 0; 2; 0; 0.03; 1; 1; 17;
2; 28; 17; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 14;
3; 17; 18; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
4; 18; 17; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 10;
5; 17; 19; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 7;
6; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
7; 20; 22; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 9;
8; 22; 15; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 10;
9; 15; 15; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 7;
10; 15; 16; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 6;
11; 16; 19; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 6;
12; 19; 21; 8; 0.1; 3; 0; 1; 0; 0.03; 1; 1; 7;
13; 21; 17; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 7;
14; 17; 18; 8; 0.5; 0; 0; 4; 0; 0.03; 1; 1; 8;
15; 18; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
16; 19; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 8;
17; 20; 23; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 8;
18; 23; 19; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 7;
19; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
20; 20; 23; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 8;
21; 23; 21; 2; 0.1; 1; 0; 0; 0; 0.03; 1; 1; 5;
22; 21; 11; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 13;
23; 11; 12; 4; 0.5; 1; 0; 1; 0; 0.03; 1; 1; 4;
24; 12; 14; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 5;
25; 14; 14; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 7;
