geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo
1; 40; 31; 4; 0.1; 1; 0; 1; 0; 0.03; 1; 1; 14
2; 31; 17; 3; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 18
3; 17; 18; 8; 0.5; 4; 0; 0; 0; 0.03; 0; 0; 7
4; 18; 20; 9; 0.5; 2; 0; 2; 0; 0.03; 0; 0; 7
5; 20; 23; 10; 0.1; 3; 0; 2; 0; 0.03; 0; 0; 7
6; 23; 16; 2; 0.5; 1; 0; 0; 0; 0.03; 0; 0; 9
7; 16; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 6
8; 18; 17; 9; 0.5; 3; 0; 1; 0; 0.03; 0; 0; 10
9; 17; 18; 8; 0.5; 4; 0; 0; 0; 0.03; 0; 0; 7
10; 18; 20; 9; 0.5; 1; 0; 3; 0; 0.03; 0; 0; 7
11; 20; 20; 10; 0.5; 4; 0; 1; 0; 0.03; 0; 0; 10
12; 20; 21; 10; 0.1; 2; 0; 3; 0; 0.03; 0; 0; 9
13; 21; 10; 2; 0.5; 1; 0; 0; 0; 0.03; 0; 0; 13

