geracao; tamanhoAntesOP; tamanhoDepoisOP; quantidadeCruzados; taxaCruzamento; NumdoisPontos; NumumPonto; NumOutro; NãoCruzados; taxaMutacao; SerMutado; Nummutacao; NumElitismo;
1; 40; 29; 4; 0.1; 2; 0; 0; 0; 0.03; 1; 1; 16;
2; 29; 22; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 10;
3; 22; 16; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 9;
4; 16; 17; 8; 0.5; 4; 0; 0; 0; 0.03; 1; 1; 8;
5; 17; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 6;
6; 20; 22; 10; 0.1; 4; 0; 1; 0; 0.03; 1; 1; 9;
7; 22; 16; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 9;
8; 16; 18; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7;
9; 18; 20; 8; 0.5; 3; 0; 1; 0; 0.03; 1; 1; 7;
10; 20; 22; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 9;
11; 22; 15; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 10;
12; 15; 15; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 7;
13; 15; 18; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 4;
14; 18; 20; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 7;
15; 20; 20; 10; 0.5; 2; 0; 3; 0; 0.03; 1; 1; 11;
16; 20; 22; 10; 0.1; 1; 0; 4; 0; 0.03; 1; 1; 9;
17; 22; 15; 2; 0.5; 0; 0; 1; 0; 0.03; 1; 1; 10;
18; 15; 17; 6; 0.5; 1; 0; 2; 0; 0.03; 1; 1; 5;
19; 17; 18; 8; 0.5; 1; 0; 3; 0; 0.03; 1; 1; 8;
20; 18; 19; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
21; 19; 20; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 8;
22; 20; 20; 10; 0.5; 1; 0; 4; 0; 0.03; 1; 1; 11;
23; 20; 23; 10; 0.1; 2; 0; 3; 0; 0.03; 1; 1; 8;
24; 23; 22; 2; 0.1; 0; 0; 1; 0; 0.03; 1; 1; 4;
25; 22; 12; 2; 0.5; 1; 0; 0; 0; 0.03; 1; 1; 13;
26; 12; 14; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 5;
27; 14; 17; 6; 0.5; 3; 0; 0; 0; 0.03; 1; 1; 4;
28; 17; 15; 8; 0.5; 2; 0; 2; 0; 0.03; 1; 1; 11;
29; 15; 15; 6; 0.5; 0; 0; 3; 0; 0.03; 1; 1; 7;
30; 15; 16; 6; 0.5; 2; 0; 1; 0; 0.03; 1; 1; 6;

