geracao;tamanho;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo
1;71;10;0.1;4;0;1;0;0.03;3;3;42
2;37;6;0.1;2;0;1;0;0.03;5;2;42
3;22;2;0.1;0;0;1;0;0.03;6;1;18
4;11;2;0.5;1;0;0;0;0.03;6;0;13
5;12;4;0.5;1;0;1;0;0.03;6;0;3
6;13;6;0.5;1;0;2;0;0.03;6;0;5
7;12;6;0.5;0;0;3;0;0.03;6;0;7
8;12;6;0.5;1;0;2;0;0.03;6;0;6
9;13;6;0.5;0;0;3;0;0.03;6;0;5
10;14;6;0.5;2;0;1;0;0.03;6;0;5
11;15;6;0.5;1;0;2;0;0.03;6;0;5
12;15;6;0.5;1;0;2;0;0.03;6;0;6
13;16;6;0.5;1;0;2;0;0.03;6;0;5
14;19;8;0.5;0;0;4;0;0.03;6;0;5
15;20;8;0.5;1;0;3;0;0.03;6;0;7

geracao;tamanho;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo
1;67;10;0.1;3;0;2;0;0.03;3;3;46
2;43;6;0.1;1;0;2;0;0.03;5;2;32
3;24;4;0.1;0;0;2;0;0.03;6;1;24
4;15;2;0.5;1;0;0;0;0.03;6;0;11
5;15;6;0.5;2;0;1;0;0.03;6;0;6
6;16;6;0.5;2;0;1;0;0.03;6;0;5
7;16;8;0.5;2;0;2;0;0.03;6;0;8
8;16;8;0.5;2;0;2;0;0.03;6;0;8
9;19;8;0.5;3;0;1;0;0.03;6;0;5

geracao;tamanho;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo
1;72;10;0.1;3;0;2;0;0.03;3;3;41
2;43;6;0.1;3;0;0;0;0.03;5;2;37
3;26;4;0.1;0;0;2;0;0.03;6;1;22
4;17;2;0.5;0;0;1;0;0.03;6;0;11
5;19;8;0.5;2;0;2;0;0.03;6;0;6

geracao;tamanho;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo
1;63;10;0.1;4;0;1;0;0.03;3;3;50
2;40;6;0.1;3;0;0;0;0.03;5;2;31
3;22;4;0.1;2;0;0;0;0.03;6;1;23
4;22;2;0.1;1;0;0;0;0.03;6;0;2
5;12;2;0.5;1;0;0;0;0.03;6;0;12
6;14;6;0.5;2;0;1;0;0.03;6;0;4
7;15;6;0.5;1;0;2;0;0.03;6;0;5
8;16;6;0.5;1;0;2;0;0.03;6;0;5
9;17;8;0.5;3;0;1;0;0.03;6;0;7
10;17;8;0.5;2;0;2;0;0.03;6;0;8
11;17;8;0.5;1;0;3;0;0.03;6;0;8
12;20;8;0.5;2;0;2;0;0.03;6;0;5
13;23;10;0.1;5;0;0;0;0.03;6;0;7
14;14;2;0.5;0;0;1;0;0.03;6;0;11
15;15;6;0.5;1;0;2;0;0.03;6;0;5
16;17;6;0.5;0;0;3;0;0.03;6;0;4
17;18;8;0.5;2;0;2;0;0.03;6;0;7
18;20;8;0.5;3;0;1;0;0.03;6;0;6
19;22;10;0.1;1;0;4;0;0.03;6;0;8
20;14;2;0.5;1;0;0;0;0.03;6;0;10
21;15;6;0.5;2;0;1;0;0.03;6;0;5
22;17;6;0.5;1;0;2;0;0.03;6;0;4
23;17;8;0.5;0;0;4;0;0.03;6;0;8
24;17;8;0.5;3;0;1;0;0.03;6;0;8
25;18;8;0.5;2;0;2;0;0.03;6;0;7
26;20;8;0.5;3;0;1;0;0.03;6;0;6
27;20;10;0.5;1;0;4;0;0.03;6;0;10
28;22;10;0.1;0;0;5;0;0.03;6;0;8
29;18;2;0.5;0;0;1;0;0.03;6;0;6
30;19;8;0.5;2;0;2;0;0.03;6;0;7
31;20;8;0.5;1;0;3;0;0.03;6;0;7
32;22;10;0.1;2;0;3;0;0.03;6;0;8
33;16;2;0.5;1;0;0;0;0.03;6;0;8
34;17;8;0.5;1;0;3;0;0.03;6;0;7
35;18;8;0.5;4;0;0;0;0.03;6;0;7
36;20;8;0.5;2;0;2;0;0.03;6;0;6
37;23;10;0.1;1;0;4;0;0.03;6;0;7
38;17;2;0.5;1;0;0;0;0.03;6;0;8
39;18;8;0.5;1;0;3;0;0.03;6;0;7
40;19;8;0.5;1;0;3;0;0.03;6;0;7
41;19;8;0.5;3;0;1;0;0.03;6;0;8
42;20;8;0.5;2;0;2;0;0.03;6;0;7
43;21;10;0.1;2;0;3;0;0.03;6;0;9
44;20;2;0.5;0;0;1;0;0.03;6;0;3
45;22;10;0.1;1;0;4;0;0.03;6;0;8
46;20;2;0.5;0;0;1;0;0.03;6;0;4
47;22;10;0.1;3;0;2;0;0.03;6;0;8
48;21;2;0.1;1;0;0;0;0.03;6;0;3
49;16;2;0.5;0;0;1;0;0.03;6;0;7
50;17;8;0.5;3;0;1;0;0.03;6;0;7

geracao;tamanho;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo
1;69;10;0.1;4;0;1;0;0.03;3;3;44
2;36;6;0.1;3;0;0;0;0.03;5;2;41
3;24;2;0.1;1;0;0;0;0.03;6;1;15
4;19;2;0.5;1;0;0;0;0.03;7;1;8
5;21;8;0.1;2;0;2;0;0.03;8;1;7
6;20;2;0.5;0;0;1;0;0.03;9;1;4
7;22;10;0.1;1;0;4;0;0.03;10;1;9
8;19;2;0.5;0;0;1;0;0.03;11;1;6
9;21;8;0.1;1;0;3;0;0.03;12;1;7
10;20;2;0.5;0;0;1;0;0.03;13;1;4
11;22;10;0.1;3;0;2;0;0.03;14;1;9
12;22;2;0.1;0;0;1;0;0.03;15;1;3
13;22;2;0.1;0;0;1;0;0.03;16;1;3
14;22;2;0.1;0;0;1;0;0.03;17;1;3
15;17;2;0.5;0;0;1;0;0.03;18;1;8
16;20;8;0.5;1;0;3;0;0.03;19;1;6
17;22;10;0.1;1;0;4;0;0.03;20;1;9
18;20;2;0.5;1;0;0;0;0.03;21;1;5
19;21;10;0.1;2;0;3;0;0.03;22;1;10
20;20;2;0.5;0;0;1;0;0.03;23;1;4
21;23;10;0.1;2;0;3;0;0.03;24;1;8
22;20;2;0.5;0;0;1;0;0.03;25;1;6
23;22;10;0.1;2;0;3;0;0.03;26;1;9
24;20;2;0.5;0;0;1;0;0.03;27;1;5
25;23;10;0.1;1;0;4;0;0.03;28;1;8
26;21;2;0.1;0;0;1;0;0.03;29;1;5
27;14;2;0.5;1;0;0;0;0.03;30;1;10
28;15;6;0.5;0;0;3;0;0.03;31;1;6
29;16;6;0.5;1;0;2;0;0.03;32;1;6
30;17;8;0.5;2;0;2;0;0.03;33;1;8

geracao;tamanho;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo
1;69;10;0.1;4;0;1;0;0.03;3;3;44
2;41;6;0.1;1;0;2;0;0.03;2;2;36
3;26;4;0.1;0;0;2;0;0.03;1;1;20
4;16;2;0.5;1;0;0;0;0.03;1;1;13
5;19;8;0.5;2;0;2;0;0.03;1;1;6
6;20;8;0.5;1;0;3;0;0.03;1;1;8
7;23;10;0.1;2;0;3;0;0.03;1;1;8
8;22;2;0.1;1;0;0;0;0.03;1;1;4
9;17;2;0.5;1;0;0;0;0.03;1;1;8
10;19;8;0.5;0;0;4;0;0.03;1;1;7
11;19;8;0.5;1;0;3;0;0.03;1;1;9
12;19;8;0.5;2;0;2;0;0.03;1;1;9
13;19;8;0.5;2;0;2;0;0.03;1;1;9
14;22;8;0.1;2;0;2;0;0.03;1;1;6
15;20;2;0.5;0;0;1;0;0.03;1;1;5
16;20;10;0.5;2;0;3;0;0.03;1;1;11
17;22;10;0.1;2;0;3;0;0.03;1;1;9
18;15;2;0.5;0;0;1;0;0.03;1;1;10
19;16;6;0.5;1;0;2;0;0.03;1;1;6
20;18;8;0.5;1;0;3;0;0.03;1;1;7

geracao;tamanho;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo
1;65;10;0.1;4;0;1;0;0.03;3;3;48
2;41;6;0.1;1;0;2;0;0.03;2;2;32
3;21;4;0.1;1;0;1;0;0.03;1;1;25
4;14;2;0.5;1;0;0;0;0.03;1;1;10
5;16;6;0.5;2;0;1;0;0.03;1;1;5
6;18;8;0.5;3;0;1;0;0.03;1;1;7
7;21;8;0.1;2;0;2;0;0.03;1;1;6
8;17;2;0.5;0;0;1;0;0.03;1;1;7
9;19;8;0.5;2;0;2;0;0.03;1;1;7
10;22;8;0.1;1;0;3;0;0.03;1;1;6

geracao;tamanho;quantidadeCruzados;taxaCruzamento;NumdoisPontos;NumumPonto;NumOutro;NãoCruzados;taxaMutacao;SerMutado;Nummutacao;NumElitismo
1;71;10;0.1;4;0;1;0;0.03;3;3;42
2;42;6;0.1;3;0;0;0;0.03;2;2;37
3;36;4;0.1;1;0;1;0;0.03;1;1;11
4;23;2;0.1;0;0;1;0;0.03;1;1;16
5;23;2;0.1;1;0;0;0;0.03;1;1;3
6;13;2;0.5;1;0;0;0;0.03;1;1;13
